,rank,bib,name,country,sex,division,divisionType,finDivPos,finSexPos,finOvrPos,isDNF,swimLegTime,swimNetTime,t1LegTime,t1NetTime,bikeLegTime,bikeNetTime,t2LegTime,t2NetTime,finishLegTime,finishNetTime
34,35.0,1055,Rodrigo Romero García de la Cadena,MEX,M,M30-34,AG,5.0,13.0,13.0,False,00:29:11.905,00:29:11.905,00:04:09.321,00:33:21.226,02:22:48.597,02:56:09.823,00:02:57.129,02:59:06.952,01:26:54.518,04:26:01.47
35,36.0,724,Francisco Moreira,CHI,M,M35-39,AG,3.0,14.0,14.0,False,00:28:50.722,00:28:50.722,00:03:28.324,00:32:19.046,02:23:35.187,02:55:54.233,00:07:21.278,03:03:15.511,01:23:12.85,04:26:28.361
36,37.0,37,Ricardo Avalos,CHI,M,M30-34,AG,6.0,15.0,15.0,False,00:30:52.116,00:30:52.116,00:03:56.684,00:34:48.80,02:21:32.727,02:56:21.527,00:02:26.808,02:58:48.335,01:27:42.14,04:26:30.475
37,38.0,1690,Team Quien Nos Baja (qnb),CHI,M,MRelay,RELAY,4.0,4.0,4.0,False,00:29:46.374,00:29:46.374,00:02:58.617,00:32:44.991,02:28:40.793,03:01:25.784,00:01:48.973,03:03:14.757,01:23:31.889,04:26:46.646
38,39.0,97,Johnny Mena,ECU,M,M25-29,AG,6.0,16.0,16.0,False,00:27:55.004,00:27:55.004,00:04:08.315,00:32:03.319,02:21:48.656,02:53:51.975,00:02:26.379,02:56:18.354,01:30:28.471,04:26:46.825
39,40.0,20,Cecilia Perez,MEX,F,FPRO,PRO,1.0,1.0,20.0,False,00:27:35.355,00:27:35.355,00:02:50.489,00:30:25.844,02:26:00.726,02:56:26.57,00:01:52.805,02:58:19.375,01:28:48.764,04:27:08.139
40,41.0,120,Martín Villanueva Hasbún,CHI,M,M40-44,AG,1.0,17.0,17.0,False,00:29:24.382,00:29:24.382,00:04:37.648,00:34:02.03,02:19:23.574,02:53:25.604,00:03:33.082,02:56:58.686,01:30:33.534,04:27:32.22
41,42.0,1308,Tomas Rivera,CHI,M,M35-39,AG,4.0,18.0,18.0,False,00:31:56.87,00:31:56.87,00:03:55.84,00:35:52.71,02:22:56.684,02:58:49.394,00:03:00.265,03:01:49.659,01:25:48.862,04:27:38.521
42,43.0,1271,Facundo Clemente,ARG,M,M35-39,AG,5.0,19.0,19.0,False,00:36:39.673,00:36:39.673,00:04:05.76,00:40:45.433,02:16:09.976,02:56:55.409,00:04:14.68,03:01:10.089,01:26:34.721,04:27:44.81
43,44.0,82,Mauricio Smith Frontaura,CHI,M,M35-39,AG,6.0,20.0,20.0,False,00:30:44.282,00:30:44.282,00:03:59.435,00:34:43.717,02:20:13.793,02:54:57.51,00:02:23.661,02:57:21.171,01:30:55.045,04:28:16.216
44,45.0,794,Martin Paquay,CHI,M,M25-29,AG,7.0,21.0,21.0,False,00:26:44.133,00:26:44.133,00:03:58.183,00:30:42.316,02:20:21.48,02:51:03.796,00:07:05.582,02:58:09.378,01:30:32.174,04:28:41.552
45,46.0,114,Eduardo Jose Garcia,CHI,M,M30-34,AG,7.0,22.0,22.0,False,00:30:37.95,00:30:37.95,00:03:57.983,00:34:35.933,02:23:02.481,02:57:38.414,00:02:34.894,03:00:13.308,01:28:49.51,04:29:02.818
46,47.0,1217,Joshua Gordon,USA,M,M35-39,AG,7.0,23.0,23.0,False,00:31:14.924,00:31:14.924,00:04:21.857,00:35:36.781,02:20:10.64,02:55:47.421,00:02:39.496,02:58:26.917,01:31:06.237,04:29:33.154
47,48.0,721,Sebastian Leppe Roa,CHI,M,M25-29,AG,8.0,24.0,24.0,False,00:27:07.514,00:27:07.514,00:03:11.946,00:30:19.46,02:21:33.344,02:51:52.804,00:02:41.078,02:54:33.882,01:35:22.116,04:29:55.998
48,49.0,123,Lucas Alonso Cea Jaramillo,CHI,M,M25-29,AG,9.0,25.0,25.0,False,00:33:35.049,00:33:35.049,00:03:12.513,00:36:47.562,02:27:13.918,03:04:01.48,00:03:46.801,03:07:48.281,01:22:33.518,04:30:21.799
49,50.0,1008,Joaquín Renato Santibañez Monsalva,CHI,M,M18-24,AG,1.0,26.0,26.0,False,00:27:51.311,00:27:51.311,00:04:04.634,00:31:55.945,02:26:20.25,02:58:16.195,00:03:21.457,03:01:37.652,01:29:22.303,04:30:59.955
50,51.0,56,Philip Billikopf,CHI,M,M35-39,AG,8.0,27.0,27.0,False,00:33:45.59,00:33:45.59,00:04:12.702,00:37:58.292,02:20:00.239,02:57:58.531,00:03:07.34,03:01:05.871,01:30:05.807,04:31:11.678
51,52.0,1631,Team Tvt Fit,CHI,F,FRelay,RELAY,1.0,1.0,5.0,False,00:29:33.164,00:29:33.164,00:03:05.765,00:32:38.929,02:25:31.445,02:58:10.374,00:01:44.641,02:59:55.015,01:31:41.439,04:31:36.454
52,53.0,139,Marcelo Lana,ARG,M,M45-49,AG,2.0,28.0,28.0,False,00:33:16.867,00:33:16.867,00:03:33.562,00:36:50.429,02:22:49.57,02:59:39.999,00:02:32.586,03:02:12.585,01:29:35.034,04:31:47.619
53,54.0,39,Jose Ignacio Castro,CHI,M,M40-44,AG,2.0,29.0,29.0,False,00:31:49.449,00:31:49.449,00:03:46.984,00:35:36.433,02:30:16.735,03:05:53.168,00:01:56.464,03:07:49.632,01:24:13.694,04:32:03.326
54,55.0,1020,Marcelo Guerra,CHI,M,M40-44,AG,3.0,30.0,30.0,False,00:36:57.64,00:36:57.64,00:06:08.148,00:43:05.788,02:16:02.274,02:59:08.062,00:02:51.34,03:01:59.402,01:30:40.33,04:32:39.732
55,56.0,1118,Gonzalo Delpiano Radovic,CHI,M,M30-34,AG,8.0,31.0,31.0,False,00:29:50.499,00:29:50.499,00:03:46.793,00:33:37.292,02:31:20.687,03:04:57.979,00:03:20.207,03:08:18.186,01:24:26.335,04:32:44.521
56,57.0,509,Miguel Angel Armada,ARG,M,M40-44,AG,4.0,32.0,32.0,False,00:28:41.602,00:28:41.602,00:04:06.644,00:32:48.246,02:22:49.347,02:55:37.593,00:03:01.145,02:58:38.738,01:34:47.537,04:33:26.275
57,58.0,537,Mathias Cruz,CHI,M,M35-39,AG,9.0,33.0,33.0,False,00:30:55.872,00:30:55.872,00:03:23.143,00:34:19.015,02:21:44.472,02:56:03.487,00:07:35.899,03:03:39.386,01:30:03.666,04:33:43.052
58,59.0,109,Cristian Mora,CHI,M,M40-44,AG,5.0,34.0,34.0,False,00:34:34.16,00:34:34.16,00:03:43.065,00:38:17.225,02:22:49.661,03:01:06.886,00:02:50.804,03:03:57.69,01:31:12.432,04:35:10.122
59,60.0,725,Vinicius Ferreira Moraes,BRA,M,M30-34,AG,9.0,35.0,35.0,False,00:32:35.269,00:32:35.269,00:03:59.203,00:36:34.472,02:20:48.223,02:57:22.695,00:02:58.156,03:00:20.851,01:34:57.463,04:35:18.314
60,61.0,980,Marcelo Troncoso Silva,CHI,M,M30-34,AG,10.0,36.0,36.0,False,00:29:28.014,00:29:28.014,00:04:12.735,00:33:40.749,02:24:42.058,02:58:22.807,00:03:09.52,03:01:32.327,01:34:14.198,04:35:46.525
61,62.0,539,Patricio Almonacid,CHI,M,M45-49,AG,3.0,37.0,37.0,False,00:37:44.076,00:37:44.076,00:04:31.579,00:42:15.655,02:14:25.816,02:56:41.471,00:02:46.203,02:59:27.674,01:36:25.827,04:35:53.501
62,63.0,22,Macarena Salazar,CHI,F,FPRO,PRO,2.0,2.0,21.0,False,00:27:35.418,00:27:35.418,00:02:51.969,00:30:27.387,02:36:04.367,03:06:31.754,00:01:52.402,03:08:24.156,01:27:35.194,04:35:59.35
63,64.0,1666,Team Trifit,CHI,MF,MFRelay,RELAY,1.0,1.0,6.0,False,00:29:38.793,00:29:38.793,00:03:15.741,00:32:54.534,02:31:42.355,03:04:36.889,00:02:00.836,03:06:37.725,01:29:48.674,04:36:26.399
64,65.0,21,Francisca Garrido,CHI,F,FPRO,PRO,3.0,3.0,22.0,False,00:30:30.747,00:30:30.747,00:03:02.507,00:33:33.254,02:32:53.14,03:06:26.394,00:01:56.625,03:08:23.019,01:28:23.253,04:36:46.272
