,name,date,desc,earliestStartTime,logoImg,shortName,timeZone,units,url,shorturl,postponed,cancelled,finishers,allowSimulations,loc_desc,loc_coords,loc_country_iso
850,IRM-TEXAS703-2023,2023-04-02,IRONMAN® 70.3® Texas,1680435900,/_imgss/events/IRM-TEXAS703-2023/1676478908_im22-703teas-primary-logo-full-8788.png,IM 70.3 Texas,America/Chicago,standard,https://track.rtrt.me/e/IRM-TEXAS703-2023,38271,0,,1887,,"Galveston TX, United States","['29.29533', '-94.80791']",
851,IRM-FLORIANOPOLIS703-2023,2023-04-16,IRONMAN® 70.3® Florianópolis,1681637400,/_imgss/events/IRM-FLORIANOPOLIS703-2023/1681172306_logo-703-fln-2023-large-1246.png,IM 70.3 Florianópolis,America/Argentina/Buenos_Aires,metric,https://track.rtrt.me/e/IRM-FLORIANOPOLIS703-2023,38283,0,,1561,,"Florianópolis SC, Brazil","['-27.5976', '-48.548']",BR
852,IRM-TEXAS-2023,2023-04-22,Memorial Hermann IRONMAN® Texas,1682162700,/_imgss/events/IRM-TEXAS-2023/1675879336_im23-teas-vinfast-mdot-naseries-7327.png,IM Texas,America/Chicago,standard,https://track.rtrt.me/e/IRM-TEXAS-2023,3795,0,,1850,,"The Woodlands TX, United States","['30.1734', '-95.5047']",
853,IRM-MONTERREY703-2023,2023-04-23,Mazda IRONMAN® 70.3® Monterrey,1682251200,/_imgss/events/IRM-MONTERREY703-2021/1636288396_mty-large-cropped-4-4210.png,IM 70.3 Monterrey,America/Monterrey,metric,https://track.rtrt.me/e/IRM-MONTERREY703-2023,38298,0,,745,,"Monterrey NLE, Mexico","['25.680202', '-100.315258']",MX
854,IRM-PERU703-2023,2023-04-23,IRONMAN® 70.3® Peru,1682249400,/_imgss/events/IRM-PERU703-2023/1678910517_peruim703logoaifinal-large-9551.png,IM 70.3 Peru,America/Lima,metric,https://track.rtrt.me/e/IRM-PERU703-2023,3830,0,,971,,"Lima LMA, Peru","['-12', '-76.8333']",PE
855,IRM-STGEORGE703-2023,2023-05-06,IRONMAN® 70.3® St. George,1683377400,/_imgss/events/IRM-STGEORGE703-2023/1681407620_im23-703stgeorge-nac-logo-large-9173.png,IM 70.3 St.George,America/Denver,standard,https://track.rtrt.me/e/IRM-STGEORGE703-2023,3896,0,,1544,,"St George UT, United States","['37.10907', '-113.5833']",US
856,IRM-VENICE703-2023,2023-05-07,IRONMAN® 70.3® Venice-Jesolo,1683437400,/_imgss/events/IRM-VENICE703-2023/1679953687_im-703-venice-jesolo-logo-pos-2916.png,70.3 Venice-Jesolo,Europe/Rome,metric,https://track.rtrt.me/e/IRM-VENICE703-2023,3900,0,,2398,,"Jesolo VE, Italy","['45.53311', '12.64475']",IT
857,IRM-AUSTRALIA703-2023,2023-05-07,IRONMAN 70.3® Port Macquarie,1683404340,/_imgss/events/IRM-AUSTRALIA703-2022/1679953192_ironman703-portmacquarie-logo-9991.png,IM Port Macquarie,Australia/Sydney,metric,https://track.rtrt.me/e/IRM-AUSTRALIA703-2023,3899,0,,1170,,"Port Macquarie NSW, Australia","['-31.42988', '152.90812']",AU
858,IRM-MARBELLA703-2023,2023-05-07,IRONMAN® 70.3® Marbella,1683438000,/_imgss/events/IRM-MARBELLA703-2023/1679952970_im22-703-marbella-logo-pos-5033.png,IM 70.3 Marbella,Europe/Madrid,metric,https://track.rtrt.me/e/IRM-MARBELLA703-2023,3898,0,,1121,,"Marbella, Spain","['36.5081', '-4.88352']",ES
859,IRM-VIETNAM703-2023,2023-05-07,VinFast IRONMAN® 70.3® Vietnam,1683414000,/_imgss/events/IRM-VIETNAM703-2023/1679952848_703vn23-logo-1602.png,IM 70.3 Vietnam,Asia/Ho_Chi_Minh,metric,https://track.rtrt.me/e/IRM-VIETNAM703-2023,3897,0,,1409,,"Đà Nẵng, Vietnam","['16.057161', '108.172104']",VN
860,IRM-AUSTRALIA-2023,2023-05-07,IRONMAN® Australia,1683407280,/_imgss/events/IRM-AUSTRALIA-2023/1679953871_ironman-australia-logo-3316.png,IM Australia,Australia/Sydney,metric,https://track.rtrt.me/e/IRM-AUSTRALIA-2023,3901,0,,968,,"Port Macquarie NSW, Australia","['-31.42988', '152.90812']",AU
861,IRM-DESARU5150-2023,2023-05-13,IRONMAN® 5i50™ Triathlon Series Desaru Coast,1683932700,/_imgss/events/IRM-DESARU5150-2023/1683944821_microsoftteams-image-215.png,5i50 Desaru  Coast,Asia/Kuala_Lumpur,metric,https://track.rtrt.me/e/IRM-DESARU5150-2023,3904,0,,218,,"Desaru Coast, Malaysia","['1.553823', '104.231382']",
862,IRM-GULFCOAST703-2023,2023-05-13,IRONMAN® 70.3® Gulf Coast,1683975600,/_imgss/events/IRM-GULFCOAST703-2023/1679954294_im21-703gulfcoast-primarylogo-la-9606.png,IM 70.3 Gulf Coast,America/Chicago,standard,https://track.rtrt.me/e/IRM-GULFCOAST703-2023,3903,0,,1290,,"Panama City Beach FL, United States","['30.19165', '-85.83249']",US
863,IRM-MALLORCA703-2023,2023-05-13,Zafiro IRONMAN 70.3 Alcúdia-Mallorca,1683956700,/_imgss/events/IRM-MALLORCA703-2023/1679954162_im21-ironman-703-mallorca-2022-5841.png,IM 70.3 Mallorca,Europe/Madrid,metric,https://track.rtrt.me/e/IRM-MALLORCA703-2023,3902,0,,2540,,"Alcúdia, Spain","['39.85172', '3.12366']",ES
864,IRM-DESARUCOAST702-2023,2023-05-14,IRONMAN® 70.3® Desaru Coast,1684019100,/_imgss/events/IRM-DESARUCOAST702-2023/1679954561_imdc-logo-8130.png,IM 70.3 Desaru Coast,Asia/Kuala_Lumpur,metric,https://track.rtrt.me/e/IRM-DESARUCOAST702-2023,3905,0,,553,,"Desaru Coast, Malaysia","['3.153145', '101.624123']",PH
865,IRM-MORROBAY703-2023,2023-05-20,IRONMAN® 70.3® Morro Bay,1684590600,/_imgss/events/IRM-MORROBAY703-2023/1679954995_im23-703morrobay-primarylogo-lar-5263.png,IM 70.3 Morro Bay,America/Los_Angeles,standard,https://track.rtrt.me/e/IRM-MORROBAY703-2023,3906,0,,1785,,"Morro Bay CA, United States","['35.365808', '-120.849901']",US
